"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed"
"15","BreakPad","{AGE=InWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Switzerland,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.002597403,9.680718,71492,0.0007115257,0.2739374,1,"Quantum","InWarranty","Re-Import","Other","N","Switzerland","Suburban",FALSE,385,0.002597403,0,78886.5,123240.5,101063.5,0.266306969,9.51687437875982e-11,9.75341730542545,8.54126152278436e-11,2.80321945999761,0.896715978545407,1179,7,-9.7035337116776e-08,-8.60689937723963e-08,-84.8000943715714,0.273937467539693,0.177292191855716,0.987326487264395,1261,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"16","BreakPad","{AGE=InWarranty,MODEL=Opal,DEALERSHIP=DodgyDealer,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=Germany,GEO_TYPE=SuperUrban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.1428571,532.4395,71507,0.1388006,0.9716039,1,"Opal","InWarranty","DodgyDealer","Corporate","N","Germany","SuperUrban",FALSE,7,0.1428571,0,151750.5,164751.5,158251,0.266306969,5.82137606858535e-09,536.43770771917,5.81052356587139e-09,23.1210245099273,0.998122137680699,1199,7,-1.31898289407147e-07,-1.24031143844983e-07,-85.6849624382831,0.971603847481154,34.0160705901982,0.998442516332755,1281,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"17","BreakPad","{AGE=InWarranty,DEALERSHIP=VWDealer}=>{FAULT_TYPE=BreakPad}",5.891155e-05,0.004516361,16.83282,1548,0.002630484,0.5824345,1443,"*","InWarranty","VWDealer","*","*","*","*",FALSE,319505,0.004516361,5,138446,165665,152055.5,0.266306969,2.50377270549958e-07,16.9592294822746,2.38727756748826e-07,147.231199536505,0.953023531564042,1211,2,1.53246764689394e-07,1.52573350361202e-07,59.6278857049363,0.582434397958888,1.19483389404789,0.874318217697832,1293,1,";11;12;1",0,0,FALSE
"18","BreakPad","{AGE=OutofWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,GEO_TYPE=NormalRural}=>{FAULT_TYPE=BreakPad}",1.63303e-07,0.003587444,13.37068,55957,0.003229644,0.9002634,4,"Quantum","OutofWarranty","Re-Import","Other","N","*","NormalRural",FALSE,1115,0.003587444,1,115318.5,132412.5,123865.5,0.266306969,5.42351640573393e-10,13.4710856928419,5.02114035592675e-10,6.7965857164942,0.925251599084531,1224,6,-2.33005950967161e-09,-7.90923206409219e-08,-1.42387109245361,0.90026336299605,8.82640677583909,0.990824046312639,1306,1,";10;11;12;13;14;16;1",0,0,FALSE
"19","BreakPad","{AGE=OutofWarranty,MODEL=Opal,DEALERSHIP=DodgyDealer,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=France,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.002985075,11.1256,71939,0.002265391,0.7589061,1,"Opal","OutofWarranty","DodgyDealer","Corporate","N","France","Suburban",FALSE,335,0.002985075,0,82179.5,127401.5,104790.5,0.266306969,1.10995743941598e-10,11.2091508953339,1.01094886706998e-10,3.04972814527312,0.910129671279263,1231,7,-6.32228677261157e-08,-7.94933397898076e-08,-53.9775763014077,0.758906124636734,2.94806044667519,0.936653082418365,1313,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"20","BreakPad","{AGE=OutofWarranty,MODEL=Ultima,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=Unknown,COUNTRY=Portugal,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",8.165149e-08,0.000838223,3.124121,71977,0.0001365467,0.1629002,2,"Ultima","OutofWarranty","Re-Import","Corporate","Unknown","Portugal","Suburban",FALSE,2386,0.000838223,0,58375,86358.5,72366.75,0.266306969,4.66977960860362e-11,3.14758191701697,3.18648163936034e-11,1.71211944422973,0.679976230569033,1260,7,-3.27823919133686e-08,-7.9562569860121e-08,-41.5780668024969,0.162900206746892,-0.00539920802758442,0.960728565071586,1342,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"21","BreakPad","{AGE=OutofWarranty,MODEL=Ultima,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Private,USER_CUSTOMISED=Unknown,COUNTRY=Austria,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.001210654,4.512199,71974,0.0004816833,0.3978704,1,"Ultima","OutofWarranty","VWFranchise","Private","Unknown","Austria","Suburban",FALSE,826,0.001210654,0,57208.5,98549.5,77879,0.266306969,3.85536758008482e-11,4.54608456003267,3.00740602445738e-11,1.66336750349202,0.778404837001392,1289,7,-4.46146457309921e-08,-7.956436061627e-08,-42.2567701534864,0.39787048983442,0.460773722163249,0.997845812263454,1371,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"22","BreakPad","{MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=Village}=>{FAULT_TYPE=BreakPad}",8.165149e-08,0.003225806,12.02283,55960,0.001506855,0.4671251,2,"Quantum","*","Re-Import","Other","N","Portugal","Village",FALSE,620,0.003225806,1,98243.5,129462,113852.75,0.266306969,2.41647505534706e-10,12.1131114672406,2.2170384274242e-10,4.51627747415006,0.916848100868925,1293,6,4.42637734031319e-12,-1.22877303848898e-08,0.221665158089397,0.467125115397516,0.676774410743805,0.989795350371349,1375,1,";10;12;13;14;15;16;1",0,0,FALSE
"23","BreakPad","{AGE=InWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=UnitedKingdom,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.005434783,20.25585,71491,0.003535447,0.6505223,1,"Quantum","InWarranty","Re-Import","Other","N","UnitedKingdom","Suburban",FALSE,184,0.005434783,0,96156.5,142536,119346.25,0.266306969,2.11006910322598e-10,20.4079638636869,2.00668975089125e-10,4.29672924434934,0.950638690914293,1302,7,-9.6919498950241e-08,-8.59537374125351e-08,-83.3065845872197,0.650522385162388,1.66195707832317,0.993943047956101,1384,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"24","BreakPad","{MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Germany,GEO_TYPE=SuperUrban}=>{FAULT_TYPE=BreakPad}",8.165149e-08,0.001998002,7.446706,55952,0.001114089,0.5576016,2,"Quantum","*","Re-Import","Other","N","Germany","SuperUrban",FALSE,1001,0.001998002,1,85920.5,115170.5,100545.5,0.266306969,1.41395479506746e-10,7.50262754107648,1.22554364277975e-10,3.35780150324279,0.865747829400367,1322,6,6.5752846622193e-11,-1.23868798633542e-08,1.15267313503395,0.557601644042398,1.06053943025015,0.983524430906476,1404,1,";10;12;13;14;15;16;1",0,0,FALSE
"25","BreakPad","{MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Portugal}=>{FAULT_TYPE=BreakPad}",1.63303e-07,0.001718951,6.406664,36260,0.001496454,0.870562,4,"Quantum","*","Re-Import","Other","N","Portugal","*",FALSE,2327,0.001718951,2,96120.5,109932.5,103026.5,0.266306969,2.37221128194393e-10,6.45477287528289,2.00488831963286e-10,4.29461231606066,0.843992702766342,1326,5,1.62021672272718e-09,-1.23089453956689e-08,9.86405867891772,0.870561988096228,6.52570587812582,0.980849820617342,1408,1,";10;12;13;14;15;1",0,0,FALSE
"26","BreakPad","{DEALERSHIP=VWDealer}=>{FAULT_TYPE=BreakPad}",0.0002615706,0.0005676243,2.115579,203,Inf,Inf,6407,"*","*","VWDealer","*","*","*","*",FALSE,11287396,0.0005676243,6,69761,164674,117217.5,0.266306969,7.88157550600686e-08,2.13146618780374,7.75960151364569e-08,62.0422533035373,0.977989982764948,1372,1,0,0,0,0,0,0,1454,1,";12;1",0,0,FALSE
"27","BreakPad","{AGE=OutofWarranty,MODEL=Opal,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=Spain,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.0007968127,2.969782,71984,0.0001142826,0.1434247,1,"Opal","OutofWarranty","VWFranchise","Corporate","N","Spain","Suburban",FALSE,1255,0.0007968127,0,43352,84357,63854.5,0.266306969,2.16582943473733e-11,2.99208354551172,1.44204984382096e-11,1.15180381457689,0.663308958162205,1384,7,-6.33122051757099e-08,-7.95800141780764e-08,-55.875500632104,0.143424671820617,-0.0325601093584862,0.99672698991871,1466,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"28","BreakPad","{MODEL=Opal,DEALERSHIP=VWDealer,USER_CUSTOMISED=N}=>{FAULT_TYPE=BreakPad}",0.000182736,0.0008828239,3.290352,7006,0.0002801504,0.3173345,4476,"Opal","*","VWDealer","*","N","*","*",FALSE,5070094,0.0008828239,4,88184.5,165246.5,126715.5,0.266306969,1.12659837903216e-07,3.31506119916824,9.92114280346757e-08,85.0784527524256,0.877771392721097,1400,3,3.38440828431474e-08,2.16154128982189e-08,23.0361994488883,0.317334521641292,0.264846338120471,0.74797057487909,1482,1,";10;12;14;1",0,0,FALSE
"29","BreakPad","{DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private}=>{FAULT_TYPE=BreakPad}",0.000233809,0.0006037421,2.250193,1697,3.611785e-05,0.0598233,5727,"*","*","VWDealer","Private","*","*","*",FALSE,9485838,0.0006037421,5,72506,164564,118535,0.266306969,7.8895370543979e-08,2.26709087737017,7.19645717137365e-08,63.6934417654832,0.90674596112734,1402,2,7.96154839104036e-11,-5.63144342272035e-09,1.65118846194591,0.0598232258442803,-0.136370217593515,0.246988076531353,1484,1,";12;13;1",0,0,FALSE
"30","BreakPad","{AGE=OutofWarranty,MODEL=Ultima,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Private,USER_CUSTOMISED=Unknown,COUNTRY=France,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.001064963,3.969198,71936,0.0003456257,0.3245425,1,"Ultima","OutofWarranty","VWFranchise","Private","Unknown","France","Suburban",FALSE,939,0.001064963,0,53179.5,94439.5,73809.5,0.266306969,3.26057314575982e-11,3.99900537338172,2.44532127601704e-11,1.49988907359151,0.748088598038762,1530,7,-4.46205936753353e-08,-7.95699814637544e-08,-42.4202485833869,0.324542636692542,0.280478464295251,0.997551111165364,1612,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"31","BreakPad","{AGE=InWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Germany}=>{FAULT_TYPE=BreakPad}",8.165149e-08,0.001924928,7.174353,55953,3.905097e-05,0.02028698,2,"Quantum","InWarranty","Re-Import","Other","N","Germany","*",FALSE,1039,0.001924928,1,84920.5,113898.5,99409.5,0.266306969,1.35428878526486e-10,7.2282299153801,1.16697738407979e-10,3.27658554754987,0.860651127211925,1588,6,-9.69950769820371e-08,-8.60377086492162e-08,-84.3267282840192,0.0202869925524487,-0.179292661060128,0.982898986351697,1670,1,";10;11;12;13;14;15;1",0,0,FALSE
"32","BreakPad","{AGE=InWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,GEO_TYPE=Village}=>{FAULT_TYPE=BreakPad}",8.165149e-08,0.006042296,22.5201,55954,0.004156419,0.6878874,2,"Quantum","InWarranty","Re-Import","Other","N","*","Village",FALSE,331,0.006042296,1,113050,144588.5,128819.25,0.266306969,4.71618110604806e-10,22.6892147159694,4.5083820937093e-10,6.44031228451063,0.955608138918169,1589,6,-9.66588877499588e-08,-8.57035681782532e-08,-81.1630015470584,0.687887352754648,2.0039722375315,0.994552034524624,1671,1,";10;11;12;13;14;16;1",0,0,FALSE
"33","BreakPad","{AGE=OutofWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Holland,GEO_TYPE=NormalRural}=>{FAULT_TYPE=BreakPad}",8.165149e-08,0.008583691,31.99207,71499,0.004996247,0.5820628,2,"Quantum","OutofWarranty","Re-Import","Other","N","Holland","NormalRural",FALSE,233,0.008583691,0,120927.5,150194.5,135561,0.266306969,6.79126799033356e-10,32.2323183363632,6.58063335900134e-10,7.78092598983109,0.968751473568243,1591,7,-2.19328435121164e-09,-7.89363713406145e-08,-0.439530819116729,0.582062774626906,1.19313301490944,0.996165027375752,1673,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"34","BreakPad","{AGE=InWarranty,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private}=>{FAULT_TYPE=BreakPad}",5.515558e-05,0.005019301,18.70732,6605,0.0005029395,0.1002011,1351,"*","InWarranty","VWDealer","Private","*","*","*",FALSE,269161,0.005019301,4,140886,165666,153276,0.266306969,2.62154142516343e-07,18.8478019138883,2.51003369010656e-07,151.126249695363,0.957061848976775,1657,3,1.1776871966385e-08,1.22756122618293e-08,3.89505015885774,0.100201203314964,-0.0886397385144551,0.909424639008499,1739,1,";11;12;13;1",0,0,FALSE
"35","BreakPad","{AGE=OutofWarranty,MODEL=Opal,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=UnitedKingdom,GEO_TYPE=Suburban}=>{FAULT_TYPE=BreakPad}",4.082575e-08,0.001890359,7.045513,71921,0.001233138,0.65233,1,"Opal","OutofWarranty","VWFranchise","Corporate","N","UnitedKingdom","Suburban",FALSE,529,0.001890359,0,70821.5,113308.5,92065,0.266306969,6.63031422045982e-11,7.09842107061044,5.69638144890304e-11,2.28925591326602,0.858084237496815,1706,7,-6.32675603278527e-08,-7.95374708620256e-08,-54.7380485334148,0.652329954257366,1.67629105977225,0.998620380573214,1790,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"36","Clutch","{AGE=OutofWarranty,MODEL=Eleganz,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N}=>{FAULT_TYPE=Clutch}",7.581341e-05,0.0004766487,6.280365,34321,1.875824e-05,0.03935443,1857,"Eleganz","OutofWarranty","VWFranchise","Other","N","*","*",FALSE,3895951,0.0004766487,2,109721,165382,137551.5,0.074233717,3.0508452096322e-08,6.42091921653337,3.06286861409011e-08,92.1926719794785,0.999796296658192,1744,5,1.40645840101211e-09,1.40324628844204e-09,2.4910177347727,0.0393543504891549,-0.159033385725808,0.495411820067903,1828,1,";10;11;12;13;14;1",0,0,FALSE
"37","EngineControl","{USER_CUSTOMISED=Unknown}=>{FAULT_TYPE=EngineControl}",3.15583e-05,0.0002702813,5.168122,131,Inf,Inf,773,"*","*","*","*","Unknown","*","*",FALSE,2859983,0.0002702813,6,102884,163810,133347,0.051751962,6.8964144074054e-09,5.22262904737795,6.31304404624964e-09,51.3735177253904,0.913123259686097,1937,1,0,0,0,0,0,0,2023,1,";14;1",0,0,FALSE
"38","EngineControl","{AGE=OutofWarranty,MODEL=Quantum,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N,COUNTRY=Holland,GEO_TYPE=NormalRural}=>{FAULT_TYPE=EngineControl}",4.082575e-08,0.004291845,82.06554,69278,0.004179259,0.9737674,1,"Quantum","OutofWarranty","Re-Import","Other","N","Holland","NormalRural",FALSE,233,0.004291845,0,95142,159428.5,127285.25,0.051751962,1.73104978346128e-10,82.9310587297154,1.71019234670778e-10,8.99707156863933,0.987824014053988,1967,7,-6.80944643942432e-10,-1.69377978897371e-08,-3.20090749458179,0.973767412383252,36.9205332991751,0.999879309760721,2053,1,";10;11;12;13;14;15;16;1",0,0,FALSE
"39","EngineControl","{AGE=InWarranty,DEALERSHIP=VWFranchise,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.032891e-05,0.01035188,197.9411,5072,0.00594338,0.5741352,253,"*","InWarranty","VWFranchise","*","Y","*","*",FALSE,24440,0.01035188,4,162966,165734,164350,0.051751962,1.06389095492979e-07,200.028744803917,1.05962971699251e-07,223.841729433281,0.995941725132427,1986,3,5.05386840465659e-08,5.06072036425675e-08,62.2087980132378,0.574135036341225,1.14816877014787,0.989690143239682,2072,1,";11;12;14;1",0,0,FALSE
"40","EngineControl","{AGE=InWarranty,USER_CUSTOMISED=Y}=>{FAULT_TYPE=EngineControl}",1.281928e-05,0.004408503,84.29617,1027,0.00316032,0.7168693,314,"*","InWarranty","*","*","Y","*","*",FALSE,71226,0.004408503,5,159666,165680,162673,0.051751962,5.58504114464126e-08,85.1852341366304,5.53557680566832e-08,161.632931420043,0.99101880341618,2185,2,3.15743674033774e-08,3.17017466668328e-08,56.684896218171,0.71686942256816,2.33194102649423,0.849737677392983,2280,1,";11;14;1",0,0,FALSE
"41","EngineControl","{AGE=InWarranty,MODEL=Hopper,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=EngineControl}",1.22069e-05,0.00534989,102.2967,5119,0.004244271,0.7933381,299,"Hopper","InWarranty","*","Other","*","*","*",FALSE,55889,0.00534989,4,160686.5,165706.5,163196.5,0.051751962,6.46738412160622e-08,103.375597624685,6.41946858473232e-08,174.114230261495,0.992489085451029,2194,3,3.49006009013682e-08,3.50708778669606e-08,58.2140680405891,0.793337993865295,3.63882034364482,0.984692176848496,2289,1,";10;11;13;1",0,0,FALSE
