AGE;MODEL;DEALERSHIP;CUSTOMER_TYPE;USER_CUSTOMISED;COUNTRY;GEO_TYPE;FAULT_TYPE;OBJECT_COUNT;EVENT_COUNT;EVENT_RATE;AGGREGATION_LEVEL;SUBSET_TYPE;SIGNIFICANCE
*;*;*;Private;*;*;Suburban;Turbo Charger;5627646;11826;2,101411496;5;singleton;1
*;*;Franchise;Other;*;*;*;Gearbox;4385878;11466;2,614299805;5;minimal;0
*;*;*;Other;*;*;Suburban;Gearbox;4609670;11030;2,392796014;5;singleton;0
*;Eleganz;Franchise;*;*;*;*;Gearbox;4059208;10713;2,639184787;5;maximal;0
*;*;Franchise;*;N;*;*;Gearbox;4661779;10713;2,298049736;5;maximal;0
*;Lamura;*;*;N;*;*;Turbo Charger;6111010;10094;1,651772784;5;minimal;1
*;Eleganz;*;*;*;*;Suburban;Gearbox;4188846;10085;2,407584332;5;maximal;0
*;*;Branch;*;*;*;Suburban;Turbo Charger;4899414;9661;1,971868472;5;singleton;1
*;*;Dodgy Dealer;Other;*;*;*;Gearbox;3689054;9343;2,532627606;5;minimal;0
Out of Warranty;*;Franchise;*;*;*;*;Gearbox;4817552;9038;1,876056553;5;maximal;0
*;Eleganz;Dodgy Dealer;*;*;*;*;Gearbox;3380120;8487;2,510857603;5;maximal;0
*;*;Dodgy Dealer;*;N;*;*;Gearbox;3454913;8487;2,456501799;5;maximal;0
*;*;Re-Import;*;N;*;*;Turbo Charger;4686092;8092;1,726812022;5;singleton;0
Out of Warranty;*;Dodgy Dealer;*;*;*;*;Gearbox;3647015;7999;2,193300549;5;maximal;0
*;Lamura;*;Private;*;*;*;Turbo Charger;3882701;7389;1,903056661;5;maximal;0
*;Lamura;Branch;*;*;*;*;Turbo Charger;3851488;6690;1,736991002;5;maximal;0
*;*;Franchise;*;*;*;Suburban;Gearbox;2901347;6334;2,183123908;5;maximal;0
*;Ultima;*;Private;*;*;*;Turbo Charger;2525054;6322;2,503708832;5;singleton;0
*;*;Re-Import;Private;*;*;*;Turbo Charger;2735656;6134;2,242240984;5;singleton;0
*;Ultima;Branch;*;*;*;*;Turbo Charger;2395396;5950;2,483931676;5;singleton;0
*;Opal;*;*;*;*;Suburban;Turbo Charger;2810696;5858;2,084181285;5;maximal;0
*;Ultima;*;*;Unknown;*;*;Turbo Charger;2443291;5822;2,382851654;5;minimal;0
*;*;*;Private;Unknown;*;*;Turbo Charger;2305620;5597;2,427546604;5;maximal;0
Out of Warranty;Ultima;*;*;*;*;*;Turbo Charger;2490894;5441;2,184356299;5;singleton;1
*;*;Branch;*;Unknown;*;*;Turbo Charger;2220922;5369;2,417464458;5;maximal;0
Out of Warranty;*;*;*;Unknown;*;*;Turbo Charger;2727349;5133;1,882047365;5;maximal;0
*;Opal;Re-Import;*;*;*;*;Turbo Charger;2087515;4891;2,342977176;5;maximal;0
*;*;*;Private;*;*;Urban;Turbo Charger;1670439;4731;2,832189622;5;singleton;1
*;*;*;Other;*;*;Urban;Gearbox;1479214;4706;3,181419321;5;singleton;1
Out of Warranty;*;*;*;*;Belgium;*;Turbo Charger;2697057;4407;1,634003286;5;singleton;0
*;*;Dodgy Dealer;*;*;*;Suburban;Gearbox;1865047;4388;2,352755721;5;maximal;0
*;Eleganz;*;*;*;*;Urban;Gearbox;1371074;4373;3,189470444;5;maximal;0
*;*;*;Private;*;Belgium;*;Turbo Charger;1477305;4316;2,921536176;5;singleton;1
*;*;*;Private;*;Spain;*;Turbo Charger;1569425;4125;2,628351148;5;singleton;1
*;*;*;*;N;*;Very Rural;Turbo Charger;1744778;4072;2,333821266;5;singleton;0
*;*;*;Private;*;*;Village;Turbo Charger;1929565;3988;2,066787074;5;singleton;1
*;*;*;Private;*;Holland;*;Turbo Charger;1545708;3917;2,534113817;5;singleton;0
*;*;Branch;*;*;*;Urban;Turbo Charger;1527142;3905;2,557064111;5;singleton;1
*;*;*;Private;*;*;Very Rural;Turbo Charger;1452502;3864;2,660237301;5;singleton;1
In Warranty;*;*;*;*;*;Super Rural;Turbo Charger;22249;190;8,53970965;5;singleton;1
Out of Warranty;*;*;*;*;*;Very Rural;Turbo Charger;1789747;3853;2,152818247;5;singleton;0
*;*;*;*;N;Belgium;*;Turbo Charger;2319110;3831;1,651926817;5;singleton;0
In Warranty;*;Re-Import;*;*;*;*;Turbo Charger;154256;1310;8,49237631;5;singleton;1
*;*;Branch;*;*;Belgium;*;Turbo Charger;1316456;3669;2,787028203;5;singleton;1
*;*;Re-Import;*;*;*;Suburban;Turbo Charger;2099950;3583;1,706231101;5;singleton;0
*;*;Branch;*;*;Spain;*;Turbo Charger;1407069;3506;2,491704387;5;singleton;1
*;Ultima;*;*;*;*;Suburban;Turbo Charger;1490340;3504;2,35114135;5;singleton;0
In Warranty;Eleganz;*;*;*;*;*;Gearbox;252732;3438;13,60334267;5;maximal;0
In Warranty;*;*;*;N;*;*;Gearbox;571454;3438;6,016232278;5;maximal;0
*;*;*;Private;*;Switzerland;*;Turbo Charger;1516677;3426;2,258885709;5;singleton;0
*;*;Branch;*;*;Holland;*;Turbo Charger;1379096;3359;2,435653501;5;singleton;0
*;*;Branch;*;*;*;Village;Turbo Charger;1681908;3337;1,984056203;5;singleton;1
In Warranty;*;*;*;N;*;*;Turbo Charger;571454;3261;5,706496061;5;singleton;0
*;*;Branch;*;*;*;Very Rural;Turbo Charger;1238377;3227;2,60583005;5;singleton;1
*;Opal;*;*;*;*;Very Rural;Turbo Charger;1148547;3216;2,800059554;5;maximal;0
*;*;*;Private;*;Austria;*;Turbo Charger;1503771;3179;2,11401869;5;singleton;0
*;*;*;*;Unknown;*;Suburban;Turbo Charger;1656349;3163;1,909621704;5;maximal;0
*;*;*;Private;*;*;Rural;Turbo Charger;1294168;3153;2,436314296;5;singleton;0
*;*;*;Other;*;*;Village;Gearbox;1332090;2991;2,245343783;5;singleton;0
*;*;*;Private;*;Portugal;*;Turbo Charger;1525054;2962;1,942226308;5;singleton;1
In Warranty;*;*;Corporate;*;*;*;Turbo Charger;90398;666;7,367419633;5;singleton;1
*;*;Branch;*;*;Switzerland;*;Turbo Charger;1320859;2880;2,18039927;5;singleton;0
*;*;*;Private;*;Germany;*;Turbo Charger;940426;2850;3,030541478;5;singleton;1
*;*;*;Other;*;Belgium;*;Gearbox;959143;2800;2,919272726;5;singleton;1
*;Eleganz;*;*;*;*;Village;Gearbox;1225424;2768;2,258810012;5;maximal;0
*;*;Branch;*;*;*;Rural;Turbo Charger;1137675;2742;2,410178654;5;singleton;0
*;Opal;*;*;*;*;Urban;Turbo Charger;989092;2711;2,740897712;5;maximal;0
*;*;*;Private;*;France;*;Turbo Charger;1209281;2693;2,226943117;5;singleton;0
*;*;*;*;*;Germany;Urban;Turbo Charger;1475929;2621;1,77583068;5;singleton;0
*;Opal;*;*;*;Spain;*;Turbo Charger;965880;2595;2,686669151;5;maximal;0
*;*;Franchise;*;*;*;Urban;Gearbox;840727;2585;3,074719856;5;maximal;0
*;*;*;Other;*;Germany;*;Gearbox;739764;2583;3,491654095;5;singleton;1
*;Eleganz;*;*;*;Belgium;*;Gearbox;871458;2576;2,955965749;5;maximal;0
*;*;Branch;*;*;Austria;*;Turbo Charger;1267241;2573;2,030395166;5;singleton;0
*;*;*;Other;*;Portugal;*;Gearbox;1163149;2547;2,189745252;5;singleton;0
*;*;*;Other;*;France;*;Gearbox;1028398;2534;2,464026573;5;singleton;0
*;*;Branch;*;*;Germany;*;Turbo Charger;926047;2451;2,646733913;5;singleton;1
*;*;Re-Import;Corporate;*;*;*;Turbo Charger;1409939;2445;1,734117575;5;singleton;0
In Warranty;*;Franchise;*;*;*;*;Gearbox;205497;2428;11,81525764;5;maximal;0
*;*;*;*;N;*;Super Rural;Turbo Charger;801283;2416;3,01516443;5;singleton;0
*;*;*;Private;*;United Kingdom;*;Turbo Charger;1176884;2389;2,02993668;5;singleton;1
*;Eleganz;*;*;*;Portugal;*;Gearbox;1075712;2374;2,2069104;5;maximal;0
*;Eleganz;*;*;*;Germany;*;Gearbox;678744;2370;3,491743573;5;maximal;0
In Warranty;Opal;*;*;*;*;*;Turbo Charger;222677;2357;10,58483813;5;maximal;0
*;Eleganz;*;*;*;France;*;Gearbox;953557;2348;2,462359356;5;maximal;0
*;Opal;*;*;*;Belgium;*;Turbo Charger;802115;2324;2,897340157;5;maximal;0
*;*;*;Other;*;Switzerland;*;Gearbox;947094;2322;2,451710179;5;singleton;0
*;*;*;Other;*;Austria;*;Gearbox;975900;2319;2,37626806;5;singleton;0
*;Opal;*;*;*;Holland;*;Turbo Charger;913085;2311;2,530980139;5;maximal;0
*;*;*;Other;*;Holland;*;Gearbox;872906;2310;2,646333053;5;singleton;0
*;*;Branch;*;*;Portugal;*;Turbo Charger;1238665;2306;1,86168173;5;singleton;1
Out of Warranty;*;*;*;*;*;Super Rural;Turbo Charger;799149;2267;2,836767612;5;singleton;0
*;Opal;*;*;*;*;Rural;Turbo Charger;896739;2246;2,504630667;5;maximal;0
*;Opal;*;*;*;Switzerland;*;Turbo Charger;942268;2229;2,365569031;5;maximal;0
*;Opal;*;*;*;*;Village;Turbo Charger;1059257;2224;2,099584898;5;maximal;0
*;*;*;Private;*;*;Super Rural;Turbo Charger;711529;2191;3,079284189;5;singleton;0
*;Eleganz;*;*;*;Switzerland;*;Gearbox;869391;2158;2,482197308;5;maximal;0
*;Eleganz;*;*;*;Austria;*;Gearbox;905526;2149;2,373206291;5;maximal;0
*;*;*;Other;*;Spain;*;Gearbox;809773;2129;2,629131868;5;singleton;0
*;Eleganz;*;*;*;Holland;*;Gearbox;792464;2102;2,652486422;5;maximal;0
*;*;Branch;*;*;France;*;Turbo Charger;1020294;2068;2,026866766;5;singleton;0
In Warranty;*;*;*;*;*;Suburban;Gearbox;371422;2062;5,551636683;5;maximal;0
*;Opal;*;Corporate;*;*;*;Turbo Charger;1221806;2034;1,664748741;5;maximal;0
*;Opal;*;*;*;Austria;*;Turbo Charger;909528;2010;2,209937462;5;maximal;0
*;*;Branch;*;*;United Kingdom;*;Turbo Charger;1058067;2009;1,898745543;5;singleton;1
*;*;Dodgy Dealer;*;*;*;Urban;Gearbox;653167;2008;3,074252067;5;maximal;0
*;Eleganz;*;*;*;Spain;*;Gearbox;735390;1947;2,647574756;5;maximal;0
*;Opal;*;*;*;*;Super Rural;Turbo Charger;602696;1880;3,119317201;5;maximal;0
*;Opal;*;*;*;Portugal;*;Turbo Charger;876350;1801;2,055114965;5;maximal;0
*;*;Branch;*;*;*;Super Rural;Turbo Charger;602928;1800;2,985431096;5;singleton;0
*;Opal;*;*;*;United Kingdom;*;Turbo Charger;823290;1755;2,131691142;5;maximal;0
*;*;*;Other;*;*;Rural;Gearbox;657345;1749;2,660703284;5;singleton;1
*;Lamura;*;*;*;*;Urban;Turbo Charger;901971;1746;1,935760684;5;maximal;0
*;Opal;*;*;*;Germany;*;Turbo Charger;587192;1689;2,876401586;5;maximal;0
In Warranty;*;*;*;*;*;Very Rural;Turbo Charger;62570;460;7,351766022;5;singleton;1
*;Eleganz;*;*;*;*;Rural;Gearbox;632403;1675;2,648627537;5;maximal;0
*;*;Re-Import;*;*;*;Urban;Turbo Charger;752707;1656;2,200059253;5;singleton;1
*;Opal;*;*;*;France;*;Turbo Charger;692485;1634;2,359617898;5;maximal;0
*;Hopper;*;Other;*;*;*;Gearbox;636595;1609;2,527509641;5;minimal;0
*;*;*;Other;*;United Kingdom;*;Gearbox;719383;1557;2,164354732;5;singleton;1
*;*;Franchise;*;*;Belgium;*;Gearbox;567217;1551;2,734403235;5;maximal;0
*;*;Franchise;*;*;*;Village;Gearbox;725770;1527;2,103972333;5;maximal;0
*;Lamura;*;*;*;Belgium;*;Turbo Charger;642122;1504;2,34223403;5;maximal;0
*;Eleganz;*;*;*;United Kingdom;*;Gearbox;680413;1478;2,172210114;5;maximal;0
In Warranty;*;*;*;*;Germany;*;Turbo Charger;74146;521;7,026677097;5;singleton;1
*;*;Dodgy Dealer;*;*;*;Village;Gearbox;657245;1410;2,145318717;5;maximal;0
*;*;Franchise;*;*;Germany;*;Gearbox;411324;1397;3,39634935;5;maximal;0
In Warranty;*;*;*;*;Belgium;*;Turbo Charger;89774;611;6,80597946;5;singleton;1
*;*;Franchise;*;*;Portugal;*;Gearbox;694804;1389;1,999124933;5;maximal;0
*;*;*;*;*;Belgium;Urban;Turbo Charger;744383;1383;1,857914541;5;singleton;0
In Warranty;*;*;*;*;*;Rural;Turbo Charger;66008;426;6,45376318;5;singleton;1
*;*;Franchise;*;*;France;*;Gearbox;620715;1349;2,173300146;5;maximal;0
In Warranty;*;Dodgy Dealer;*;*;*;*;Gearbox;118556;1344;11,33641486;5;maximal;0
In Warranty;Ultima;*;*;*;*;*;Turbo Charger;172101;1107;6,432269423;5;singleton;1
*;*;Franchise;Private;*;*;*;Turbo Charger;587482;1309;2,228153373;5;singleton;0
*;Ultima;*;*;*;*;Urban;Turbo Charger;405419;1284;3,167093797;5;singleton;1
*;Lamura;*;*;*;Holland;*;Turbo Charger;641740;1257;1,958737183;5;maximal;0
*;Hopper;*;Other;*;*;*;Break Fluid;636595;1243;1,952575814;5;singleton;0
*;*;Franchise;*;*;Switzerland;*;Gearbox;575193;1232;2,141889766;5;maximal;0
*;Lamura;*;*;*;Spain;*;Turbo Charger;631638;1203;1,904571923;5;maximal;0
*;*;Franchise;*;*;Holland;*;Gearbox;519139;1202;2,315372184;5;maximal;0
Out of Warranty;Hopper;*;*;*;*;*;Gearbox;577731;1189;2,058051238;5;maximal;0
*;*;Dodgy Dealer;*;*;Belgium;*;Gearbox;431824;1188;2,751120827;5;maximal;0
*;Ultima;*;*;*;Belgium;*;Turbo Charger;384594;1187;3,086371602;5;singleton;1
*;*;Re-Import;*;*;Belgium;*;Turbo Charger;471334;1176;2,495045976;5;singleton;1
*;*;Franchise;*;*;Austria;*;Gearbox;583218;1175;2,014684046;5;maximal;0
*;*;*;*;Unknown;*;Urban;Turbo Charger;445595;1147;2,574086334;5;maximal;0
*;Opal;Franchise;*;*;*;*;Turbo Charger;501513;1132;2,257169804;5;maximal;0
*;*;Dodgy Dealer;*;*;Germany;*;Gearbox;326368;1118;3,425580939;5;maximal;0
*;*;Dodgy Dealer;*;*;Portugal;*;Gearbox;520008;1110;2,134582545;5;maximal;0
In Warranty;*;*;*;*;Spain;*;Turbo Charger;88126;554;6,286453487;5;singleton;1
*;*;Franchise;*;*;Spain;*;Gearbox;458809;1107;2,412768712;5;maximal;0
*;*;Dodgy Dealer;*;*;France;*;Gearbox;447890;1106;2,469356315;5;maximal;0
*;Lamura;*;*;*;Switzerland;*;Turbo Charger;658895;1102;1,672497135;5;maximal;0
*;*;*;*;Unknown;Belgium;*;Turbo Charger;413457;1078;2,607284433;5;maximal;0
*;*;Re-Import;*;*;*;Village;Turbo Charger;624472;1078;1,726258343;5;singleton;0
In Warranty;*;*;*;*;*;Urban;Turbo Charger;145404;911;6,265302193;5;singleton;1
*;Hopper;*;*;Unknown;*;*;Gearbox;441729;1062;2,404188994;5;maximal;0
*;*;Dodgy Dealer;*;*;Austria;*;Gearbox;445508;1062;2,383795577;5;maximal;0
*;*;*;Other;Unknown;*;*;Gearbox;441735;1062;2,404156338;5;maximal;0
*;*;Re-Import;*;*;Portugal;*;Turbo Charger;598233;1049;1,753497383;5;singleton;0
*;*;Dodgy Dealer;*;*;Switzerland;*;Gearbox;423038;1041;2,460771846;5;maximal;0
*;*;Dodgy Dealer;*;*;Holland;*;Gearbox;392261;1039;2,648746625;5;maximal;0
In Warranty;Ultima;*;*;*;*;*;Break Fluid;172101;1073;6,234711013;5;singleton;1
*;*;Re-Import;*;*;Spain;*;Turbo Charger;492044;1023;2,079082358;5;singleton;1
*;Lamura;*;*;*;Germany;*;Turbo Charger;526807;1020;1,936192951;5;maximal;0
In Warranty;*;*;*;*;*;Super Rural;Break Pad;22249;135;6,067688435;5;singleton;1
*;Ultima;*;*;*;*;Village;Turbo Charger;473402;1012;2,137718049;5;singleton;1
*;*;Dodgy Dealer;*;*;Spain;*;Gearbox;398794;996;2,497530053;5;maximal;0
In Warranty;*;*;*;*;*;Urban;Gearbox;145404;988;6,794861214;5;maximal;0
*;*;*;*;*;Spain;Very Rural;Turbo Charger;338224;985;2,912271158;5;singleton;1
*;*;Dodgy Dealer;*;*;*;Rural;Gearbox;381101;976;2,56100089;5;maximal;0
*;*;Re-Import;*;*;Germany;*;Turbo Charger;423695;973;2,296463258;5;singleton;1
*;*;Re-Import;*;*;Holland;*;Turbo Charger;476197;951;1,99707264;5;singleton;1
In Warranty;Eleganz;*;*;*;*;*;Spark Plugs;252732;950;3,758922495;5;maximal;0
*;Hopper;*;*;*;*;Suburban;Gearbox;403557;945;2,34167664;5;maximal;0
*;*;Re-Import;*;*;Austria;*;Turbo Charger;557994;943;1,68998233;5;singleton;0
In Warranty;*;*;*;*;*;*;Turbo Charger;802419;4368;5,443540096;6;singleton;1
In Warranty;*;*;*;*;France;*;Turbo Charger;83843;404;4,818529871;5;singleton;1
*;Ultima;*;*;*;Spain;*;Turbo Charger;350644;931;2,655114589;5;singleton;0
*;*;Re-Import;*;*;Switzerland;*;Turbo Charger;522829;924;1,76730824;5;singleton;0
*;*;Franchise;*;*;United Kingdom;*;Gearbox;459957;917;1,993664625;5;maximal;0
*;Ultima;*;*;*;Holland;*;Turbo Charger;339928;916;2,694688287;5;singleton;0
In Warranty;*;*;*;*;United Kingdom;*;Turbo Charger;71903;344;4,78422319;5;singleton;1
*;Lamura;*;*;*;*;Rural;Turbo Charger;476772;909;1,906571695;5;maximal;0
In Warranty;Opal;*;*;*;*;*;Break Pad;222677;896;4,023765364;5;maximal;0
*;*;*;*;Unknown;*;Village;Turbo Charger;507134;895;1,764819555;5;maximal;0
In Warranty;Lamura;*;*;*;*;*;Turbo Charger;86892;892;10,26561709;5;maximal;0
*;*;Re-Import;*;*;France;*;Turbo Charger;468520;883;1,884658072;5;singleton;0
*;*;*;*;*;Spain;Village;Turbo Charger;522210;876;1,677486069;5;singleton;0
*;Hopper;Dodgy Dealer;*;*;*;*;Gearbox;308934;856;2,770818362;5;maximal;0
In Warranty;*;*;*;*;*;Suburban;Turbo Charger;371422;1677;4,515079882;5;singleton;1
*;Lamura;*;*;*;*;Very Rural;Turbo Charger;408719;852;2,084561765;5;maximal;0
*;*;Re-Import;*;*;*;Very Rural;Turbo Charger;336696;841;2,497802172;5;singleton;0
*;*;*;*;Unknown;Spain;*;Turbo Charger;371579;837;2,252549256;5;maximal;0
In Warranty;*;*;*;Unknown;*;*;Break Fluid;157671;707;4,484020524;5;singleton;1
In Warranty;*;Branch;*;*;*;*;Break Pad;324110;1450;4,473789763;5;singleton;1
*;Hopper;Franchise;*;*;*;*;Break Fluid;326664;830;2,540837068;5;singleton;1
*;Ultima;*;*;*;Germany;*;Turbo Charger;235105;827;3,517577253;5;singleton;1
*;*;*;*;Unknown;Holland;*;Turbo Charger;367645;821;2,233132506;5;maximal;0
*;*;Dodgy Dealer;*;Unknown;*;*;Gearbox;304655;819;2,688286751;5;maximal;0
In Warranty;*;*;*;*;*;Suburban;Spark Plugs;371422;814;2,191577236;5;singleton;0
In Warranty;*;*;*;*;Portugal;*;Turbo Charger;100324;442;4,40572545;5;singleton;1
*;*;*;*;*;Holland;Very Rural;Turbo Charger;313228;775;2,47423602;5;singleton;0
*;Hopper;Franchise;*;*;*;*;Gearbox;326664;753;2,305120858;5;maximal;0
*;Hopper;*;*;*;*;Suburban;Break Fluid;403557;752;1,863429454;5;maximal;0
*;*;Franchise;*;*;*;Rural;Gearbox;318980;747;2,341839614;5;maximal;0
*;*;*;*;Unknown;Germany;*;Turbo Charger;258030;739;2,864008061;5;maximal;0
*;*;*;*;Y;*;Suburban;Break Fluid;237548;739;3,110950208;5;singleton;0
*;Ultima;*;*;Y;*;*;Turbo Charger;219704;726;3,304445982;5;minimal;1
*;*;*;Private;Y;*;*;Turbo Charger;219434;725;3,30395472;5;maximal;0
In Warranty;*;*;*;Y;*;*;Engine Control;73294;314;4,284116026;5;singleton;1
*;*;*;Corporate;*;Belgium;*;Turbo Charger;350383;699;1,994959801;5;singleton;1
*;*;Re-Import;*;*;*;Rural;Turbo Charger;337655;698;2,067198768;5;singleton;1
*;*;Franchise;*;Y;*;*;Break Fluid;201099;692;3,441091204;5;singleton;0
*;*;*;*;*;Switzerland;Very Rural;Turbo Charger;279841;690;2,465685872;5;singleton;0
In Warranty;*;*;*;Unknown;*;*;Turbo Charger;157671;689;4,369858757;5;maximal;0
*;*;*;Corporate;*;Germany;*;Turbo Charger;407244;686;1,684493817;5;singleton;0
*;Hopper;*;*;Y;*;*;Break Fluid;194866;682;3,499840916;5;maximal;0
*;*;*;Other;Y;*;*;Break Fluid;194866;682;3,499840916;5;maximal;0
In Warranty;*;Franchise;*;*;*;*;Spark Plugs;205497;830;4,038988404;5;singleton;1
*;Ultima;*;*;Y;*;*;Break Fluid;219704;641;2,91756181;5;maximal;0
*;*;*;Private;Y;*;*;Break Fluid;219434;641;2,92115169;5;maximal;0
*;Ultima;*;*;*;Switzerland;*;Turbo Charger;294528;640;2,172968275;5;singleton;1
*;*;Re-Import;*;*;United Kingdom;*;Turbo Charger;376890;633;1,679535143;5;singleton;0
*;*;*;*;*;United Kingdom;Super Rural;Turbo Charger;203337;620;3,049125344;5;maximal;0
In Warranty;*;*;*;*;*;Very Rural;Break Pad;62570;244;3,899632412;5;singleton;1
In Warranty;*;*;*;*;*;Village;Turbo Charger;115282;589;5,109210458;5;singleton;0
*;*;*;*;*;Holland;Rural;Turbo Charger;307597;586;1,905090102;5;singleton;1
*;*;Dodgy Dealer;*;*;United Kingdom;*;Gearbox;298445;582;1,95010806;5;maximal;0
*;*;Branch;*;Y;*;*;Turbo Charger;174474;581;3,330009056;5;maximal;0
*;*;*;Corporate;*;Holland;*;Turbo Charger;348079;567;1,628940557;5;singleton;1
*;Ultima;*;*;*;France;*;Turbo Charger;241503;564;2,335374716;5;singleton;0
*;*;*;*;Unknown;Switzerland;*;Turbo Charger;321290;558;1,736748732;5;maximal;0
*;Ultima;*;*;*;Austria;*;Turbo Charger;244381;555;2,271043985;5;singleton;0
In Warranty;*;*;Private;*;*;*;Break Pad;391183;1367;3,494528136;5;singleton;1
*;*;*;*;*;Spain;Rural;Turbo Charger;284845;552;1,937896049;5;singleton;1
*;Hopper;*;*;Y;*;*;Gearbox;194866;547;2,807057157;5;maximal;0
*;*;*;Other;Y;*;*;Gearbox;194866;547;2,807057157;5;maximal;0
*;Ultima;*;*;*;Portugal;*;Turbo Charger;273224;546;1,99836032;5;singleton;1
In Warranty;*;*;Other;*;*;*;Spark Plugs;320838;1026;3,197875563;5;singleton;1
*;Lamura;*;*;*;*;Super Rural;Turbo Charger;192439;533;2,769708843;5;maximal;0
*;*;*;Other;*;*;Very Rural;Gearbox;192694;528;2,740095696;5;singleton;1
*;*;Branch;*;Y;*;*;Break Fluid;174474;526;3,014775841;5;maximal;0
In Warranty;Ultima;*;*;*;*;*;Break Pad;172101;541;3,143502943;5;singleton;1
*;Ultima;Re-Import;*;*;*;*;Turbo Charger;231269;515;2,226844065;5;singleton;0
*;*;Re-Import;*;*;*;Super Rural;Turbo Charger;173724;515;2,964472381;5;singleton;0
*;*;Franchise;*;Y;*;*;Gearbox;201099;510;2,536064327;5;maximal;0
*;Eleganz;*;*;*;*;Very Rural;Gearbox;185352;506;2,729940869;5;maximal;0
In Warranty;Opal;*;*;*;*;*;Exhaust;222677;503;2,258877208;5;maximal;0
In Warranty;*;*;*;*;Holland;*;Turbo Charger;89270;503;5,634591688;5;singleton;0
In Warranty;*;*;*;*;Belgium;*;Gearbox;89774;498;5,547263127;5;maximal;0
*;*;*;*;Unknown;France;*;Turbo Charger;268960;494;1,836704343;5;maximal;0
