"","FAULT_TYPE","rules","support","confidence","lift","itemset","improvement","rel_improvement","FAULT_COUNT","MODEL","AGE","DEALERSHIP","CUSTOMER_TYPE","USER_CUSTOMISED","COUNTRY","GEO_TYPE","COMPRESSED","OBJECT_COUNT","FAULT_RATE","AGGREGATION_LEVEL","MIN_RANK","MAX_RANK","SIMPLE_COMBI","AVG_FAULT_RATE","PS_RATIO","LIFT","CHI_SQUARE","BINOMIAL_TEST","ZHANG","row_num","SET_SIZE","min_imp_psr","min_imp_chi","min_imp_bin","min_improvement","min_improvement_adj","max_improvement","LIST_ID","classification","rules_attributes","count_neg","COMBI","suppressed"
"63","Gearbox","{CUSTOMER_TYPE=Other}=>{FAULT_TYPE=Gearbox}",0.0008716297,0.002519398,2.890445,239,Inf,Inf,21350,"*","*","*","Other","*","*","*",FALSE,8474247,0.002519398,6,83845,165729,124787,0.852589609,1.45283969780481e-06,2.95499496288137,1.46962743846171e-06,166.246088565521,1,3228,1,0,0,0,0,0,0,3351,1,";13;1",0,0,FALSE
"64","Gearbox","{AGE=InWarranty,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=Gearbox}",0.0001574649,0.01235446,14.17398,1998,0.00983506,0.7960738,3857,"*","InWarranty","*","Other","*","*","*",FALSE,312195,0.01235446,5,134286,165735,150010.5,0.852589609,1.81114087093178e-06,14.490512046576,1.70792161742639e-06,220.18951752979,0.941447471532902,3343,2,3.58301173126963e-07,2.3829417896468e-07,53.9434289642682,0.796073806544357,3.70373505558733,0.796073806544357,3466,1,";11;13;1",0,0,FALSE
"76","SparkPlugs","{AGE=InWarranty}=>{FAULT_TYPE=SparkPlugs}",6.740331e-05,0.002119525,7.463541,212,Inf,Inf,1651,"*","InWarranty","*","*","*","*","*",FALSE,778948,0.002119525,6,115712,165428,140570,0.277887269,1.2413247889029e-07,7.62728356584051,1.11400320141419e-07,97.5179275045139,0.89446017638559,4328,1,0,0,0,0,0,0,4487,1,";11;1",0,0,FALSE
"80","SparkPlugs","{AGE=InWarranty,MODEL=Eleganz,CUSTOMER_TYPE=Other,USER_CUSTOMISED=N}=>{FAULT_TYPE=SparkPlugs}",3.878446e-05,0.003777096,13.30039,19490,6.278545e-05,0.01662268,950,"Eleganz","InWarranty","*","Other","N","*","*",FALSE,251516,0.003777096,3,132606.5,165485.5,149046,0.277887269,1.3571492105912e-07,13.5921879890079,1.27034587659305e-07,105.287953331804,0.934409034449838,4518,4,2.15453718957386e-09,2.15989757964295e-09,0.909226530039277,0.0166228234601397,-0.183095393940442,0.926244633443259,4696,1,";10;11;13;14;1",0,0,FALSE
"81","SparkPlugs","{AGE=InWarranty,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=SparkPlugs}",4.188722e-05,0.003286408,11.57251,1766,0.001166882,0.3550632,1026,"*","InWarranty","*","Other","*","*","*",FALSE,312195,0.003286408,5,128837,165451,147144,0.277887269,1.26018569733958e-07,11.8264072039947,1.16852232337971e-07,100.853739452113,0.92538290325849,4519,2,1.88609084366822e-09,5.45191219655247e-09,3.3358119475994,0.355063339670546,0.350540259636783,0.896731903038211,4697,1,";11;13;1",0,0,FALSE
"82","SparkPlugs","{AGE=InWarranty,USER_CUSTOMISED=N}=>{FAULT_TYPE=SparkPlugs}",5.687026e-05,0.002507479,8.829653,1770,0.0003879539,0.1547187,1393,"*","InWarranty","*","*","N","*","*",FALSE,555538,0.002507479,5,120973,165448,143210.5,0.277887269,1.2679746143582e-07,9.02336767360148,1.15361772797889e-07,99.7030068548421,0.907323591969342,4521,2,2.66498254553045e-09,3.96145265647003e-09,2.18507935032819,0.154718743407223,-0.0169615155227893,0.888899926978451,4699,1,";11;14;1",0,0,FALSE
"85","SparkPlugs","{AGE=InWarranty,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=SparkPlugs}",3.225234e-05,0.004220559,14.86197,7319,7.563646e-05,0.01792096,790,"*","InWarranty","VWFranchise","Other","*","*","*",FALSE,187179,0.004220559,4,135571,165464,150517.5,0.277887269,1.27160389176601e-07,15.1880257601869,1.19702714235303e-07,102.339951273589,0.93989657693255,4572,3,-3.87551348618493e-09,-3.55581335985924e-09,-1.48098438729598,0.0179210858087756,-0.181750871211892,0.919588590042219,4755,1,";11;12;13;1",0,0,FALSE
"98","SparkPlugs","{AGE=InWarranty,CUSTOMER_TYPE=Other,COUNTRY=Germany}=>{FAULT_TYPE=SparkPlugs}",5.797256e-06,0.004591754,16.16907,7184,0.001305347,0.2842806,142,"*","InWarranty","*","Other","*","Germany","*",FALSE,30925,0.004591754,4,137544,163202,150373,0.277887269,2.50085897894901e-08,16.5238012397034,2.35248005325962e-08,45.5142723468989,0.939339455564301,4816,3,-1.01009979944468e-07,-9.33274318053753e-08,-55.3394671052144,0.284280473213504,0.197196252441563,0.926089006510366,5016,1,";11;13;15;1",0,0,FALSE
"128","TurboCharger","{AGE=InWarranty,CUSTOMER_TYPE=Private}=>{FAULT_TYPE=TurboCharger}",0.000150647,0.009612053,6.690565,2076,0.00400449,0.4166113,3690,"*","InWarranty","*","Private","*","*","*",FALSE,383893,0.009612053,5,112072,165723,138897.5,1.405209514,1.23633635063544e-06,6.84029883390044,1.07240074481636e-06,135.742567309709,0.864078239013929,5626,2,5.47072302873526e-08,7.09031525441304e-08,36.7319825925632,0.416611310819863,0.514123491427122,0.754091035494706,5866,1,";11;13;1",0,0,FALSE
"129","TurboCharger","{CUSTOMER_TYPE=Private}=>{FAULT_TYPE=TurboCharger}",0.001232815,0.00236369,1.64527,266,Inf,Inf,30197,"*","*","*","Private","*","*","*",FALSE,12775364,0.00236369,6,58538,165721,112129.5,1.405209514,1.18162912034809e-06,1.68209080315122,1.00149759227223e-06,91.4544259551833,0.819747570964874,5897,1,0,0,0,0,0,0,6145,1,";13;1",0,0,FALSE
"130","TurboCharger","{AGE=InWarranty,MODEL=Ultima,COUNTRY=Austria}=>{FAULT_TYPE=TurboCharger}",4.694961e-06,0.007458331,5.191445,8439,0.0008502039,0.1139939,115,"Ultima","InWarranty","*","*","*","Austria","*",FALSE,15419,0.007458331,4,102689,161968,132328.5,1.405209514,2.8419169305032e-08,5.30762916539718,2.30792979606212e-08,20.0651451479067,0.807883948185966,6129,3,-7.20973500557542e-07,-5.56967711895682e-07,-78.9454395692388,0.113993868065121,-0.0713382923249157,0.825904213690704,6390,1,";10;11;15;1",0,0,FALSE
"131","TurboCharger","{AGE=InWarranty,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N}=>{FAULT_TYPE=TurboCharger}",0.0001072901,0.01158143,8.061368,8529,0.001969376,0.170046,2628,"*","InWarranty","*","Private","N","*","*",FALSE,226915,0.01158143,4,118239,165714,141976.5,1.405209514,1.09180771356499e-06,8.24178165932913,9.68305503969331e-07,129.40555570881,0.884142248642554,6163,3,-1.44528637070454e-07,-1.04095240847032e-07,-6.33701160089853,0.170046099661268,0.00488682632896698,0.883543223936941,6433,1,";11;13;14;1",0,0,FALSE
"132","TurboCharger","{DEALERSHIP=Re-Import,CUSTOMER_TYPE=Corporate,GEO_TYPE=VeryRural}=>{FAULT_TYPE=TurboCharger}",8.165149e-06,0.002655231,1.8482,8640,0.0001016705,0.03829062,200,"*","*","Re-Import","Corporate","*","*","VeryRural",FALSE,75323,0.002655231,4,63412,156640,110026,1.405209514,1.02066116863914e-08,1.88956235603739,4.81985821831854e-09,9.15832589465269,0.460348667088414,6220,3,-1.64191945868588e-07,-6.77259792913063e-08,-25.0693178131541,0.0382904538249214,-0.16018438077797,0.423714546869933,6493,1,";12;13;16;1",0,0,FALSE
"136","TurboCharger","{DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N}=>{FAULT_TYPE=TurboCharger}",4.368355e-06,0.00297437,2.07034,9188,1.044938e-05,0.00351314,107,"*","*","VWFranchise","Corporate","N","*","*",FALSE,35974,0.00297437,4,68623,153370,110996.5,1.405209514,6.85465005482053e-09,2.11667368486092,3.62156173794773e-09,7.94504826294952,0.517747916956586,6375,3,-1.84750181650823e-08,-3.1718591789363e-07,-0.0710600682170917,0.0035130128396938,-0.196469194447794,0.904292135813634,6652,1,";12;13;14;1",0,0,FALSE
"137","TurboCharger","{MODEL=Opal,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N}=>{FAULT_TYPE=TurboCharger}",0.0004638213,0.002594482,1.805915,23473,4.156272e-05,0.01601966,11361,"Opal","*","VWDealer","Private","N","*","*",FALSE,4378909,0.002594482,3,63058.5,165635.5,114347,1.405209514,5.51609910510752e-07,1.84633108027761,3.07892542268324e-07,66.435337059668,0.543410748118199,6383,4,-6.30019209837338e-07,-6.93605050003908e-07,-25.0190888955153,0.0160193826744606,-0.183719787399101,0.480152107434162,6660,1,";10;12;13;14;1",0,0,FALSE
"152","TurboCharger","{CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=Germany,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",1.526883e-05,0.001819394,1.266407,22274,4.804084e-06,0.002640487,374,"*","*","*","Corporate","N","Germany","NormalUrban",FALSE,205563,0.001819394,3,45377,152591,98984,1.405209514,6.32411250537138e-09,1.29474927537389,1.45186698513708e-09,5.01303933569182,0.212144727152477,6473,4,-3.71793131447326e-08,-1.93351744270991e-08,-7.11505128481463,0.00264098925246543,-0.197351093903836,0.258689431755848,6753,1,";13;14;15;16;1",0,0,FALSE
"159","TurboCharger","{MODEL=Ultima,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,GEO_TYPE=NormalUrban}=>{FAULT_TYPE=TurboCharger}",4.625557e-05,0.003298985,2.296291,22878,2.872755e-05,0.008707998,1133,"Ultima","*","VWDealer","Private","*","*","NormalUrban",FALSE,343439,0.003298985,3,74005,164463,119234,1.405209514,8.7597664556957e-08,2.34768194147026,5.10003466998458e-08,29.6270293132114,0.572542809615872,6545,4,-1.09403145579113e-06,-9.50497245572387e-07,-61.8273966419719,0.00870813295604557,-0.191214833327388,0.535431352370502,6825,1,";10;12;13;16;1",0,0,FALSE
"160","TurboCharger","{MODEL=Opal,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Holland}=>{FAULT_TYPE=TurboCharger}",6.164688e-05,0.002718008,1.891896,42658,5.721057e-05,0.02104872,1510,"Opal","*","VWDealer","Private","N","Holland","*",FALSE,555554,0.002718008,2,65097.5,164299.5,114698.5,1.405209514,8.09299307306237e-08,1.93423683295671,3.99963319233966e-08,26.1213740280539,0.482370326027129,6554,5,-1.10069918961747e-06,-9.61501260348836e-07,-65.3330519271294,0.0210488710850005,-0.17849828601716,0.503777766658523,6834,1,";10;12;13;14;15;1",0,0,FALSE
"162","TurboCharger","{MODEL=Lamura,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Corporate,USER_CUSTOMISED=N,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",1.008396e-05,0.002535804,1.765071,42682,1.484177e-05,0.005852884,247,"Lamura","*","Re-Import","Corporate","N","Belgium","*",FALSE,97405,0.002535804,2,61359.5,157361.5,109360.5,1.405209514,1.14008695730446e-08,1.80457360609644,5.10339969157642e-09,9.41959649838185,0.435181267459684,6559,5,-1.62997687981935e-07,-5.07345892831868e-08,-18.7685643009606,0.00585297601865134,-0.194112105580496,0.468122930636595,6839,1,";10;12;13;14;15;1",0,0,FALSE
"164","TurboCharger","{MODEL=Opal,DEALERSHIP=VWDealer,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,COUNTRY=Belgium}=>{FAULT_TYPE=TurboCharger}",5.887073e-05,0.003118377,2.170577,42764,3.481718e-05,0.01116516,1442,"Opal","*","VWDealer","Private","N","Belgium","*",FALSE,462420,0.003118377,2,71558.5,164713.5,118136,1.405209514,1.00855420513085e-07,2.21915448830359,5.64738843373313e-08,31.0994665238803,0.549670089544605,6573,5,-1.080773699835e-06,-9.45023707934901e-07,-60.354959431303,0.0111651028724237,-0.188708531644292,0.567487831009528,6853,1,";10;12;13;14;15;1",0,0,FALSE
"165","TurboCharger","{DEALERSHIP=Re-Import,USER_CUSTOMISED=N,COUNTRY=Portugal,GEO_TYPE=Village}=>{FAULT_TYPE=TurboCharger}",8.328452e-06,0.001990963,1.385829,23304,4.221025e-05,0.02120092,204,"*","*","Re-Import","*","N","Portugal","Village",FALSE,102463,0.001990963,3,49619,149977,99798,1.405209514,4.87841979198367e-09,1.41684423579842,1.44129037091201e-09,5.00533589062838,0.279579859431932,6581,4,-1.69520137762995e-07,-5.43966986038512e-08,-23.1828249087141,0.0212012980653082,-0.178337618535909,0.418383465689719,6861,1,";12;14;15;16;1",0,0,FALSE
"246","BreakFluid","{USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",5.401246e-05,0.003322626,17.9145,153,Inf,Inf,1323,"*","*","*","*","Y","*","*",FALSE,398179,0.003322626,6,140188,165664,152926,0.182130167,1.69625905560079e-07,18.243139259846,1.62977184940849e-07,146.854076666689,0.959781444463405,421,1,0,0,0,0,0,0,445,1,";14;1",0,0,FALSE
"247","BreakFluid","{MODEL=Hopper,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",5.07464e-05,0.001985959,10.70763,1300,0.001838336,0.9256663,1243,"Hopper","*","*","Other","*","*","*",FALSE,625894,0.001985959,5,126566.5,165492.5,146029.5,0.182130167,9.15378194909512e-08,10.9040640148318,8.53232060137484e-08,105.753397445433,0.930382343371969,422,2,9.33001686251069e-08,8.46933561444485e-08,113.197283485069,0.925666290190281,12.2528469810094,0.925666290190281,446,1,";10;13;1",0,0,FALSE
"248","BreakFluid","{AGE=InWarranty}=>{FAULT_TYPE=BreakFluid}",6.323908e-05,0.001988579,10.72176,155,Inf,Inf,1549,"*","InWarranty","*","*","*","*","*",FALSE,778948,0.001988579,6,126617,165546,146081.5,0.182130167,1.14238162265994e-07,10.918449330802,1.07183851914209e-07,118.148580429036,0.936513924356816,424,1,0,0,0,0,0,0,448,1,";11;1",0,0,FALSE
"350","BreakFluid","{AGE=InWarranty,MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",1.457479e-05,0.0140601,75.80739,17225,0.005704252,0.4057049,357,"Hopper","InWarranty","VWFranchise","Other","*","*","*",FALSE,25391,0.0140601,3,158966.5,165694.5,162330.5,0.182130167,2.0226849594231e-07,77.1980843788498,1.99855564062298e-07,163.875659176311,0.987832665593172,600,4,4.64314977511086e-08,4.70666578498262e-08,20.6794831563357,0.405704938087211,0.48267186219423,0.989500522755884,635,1,";10;11;12;13;1",0,0,FALSE
"368","BreakFluid","{MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other,GEO_TYPE=Village}=>{FAULT_TYPE=BreakFluid}",5.919733e-06,0.003162417,17.0507,17312,0.0005838713,0.1846281,145,"Hopper","*","VWFranchise","Other","*","*","Village",FALSE,45851,0.003162417,3,139017.5,163389.5,151203.5,0.182130167,1.76425023147756e-08,17.3634991505828,1.66576139320967e-08,47.291281187229,0.943116808101335,628,4,-7.38953171761756e-08,-6.86655920816518e-08,-58.4621162582044,0.184628086681801,0.0264349626863292,0.953319344033377,669,1,";10;12;13;16;1",0,0,FALSE
"387","BreakFluid","{AGE=InWarranty,MODEL=Ultima,GEO_TYPE=NormalRural}=>{FAULT_TYPE=BreakFluid}",4.735787e-06,0.008409453,45.34098,5963,0.002016225,0.239757,116,"Ultima","InWarranty","*","*","*","*","NormalRural",FALSE,13794,0.008409453,4,154644,164939,159791.5,0.182130167,3.89628485173246e-08,46.1727628021117,3.81404730821225e-08,71.6064691464147,0.978495933156198,655,3,-2.32613491238966e-07,-2.27516088987295e-07,-116.780824955059,0.239756973491617,0.115370426313388,0.983512233197569,697,1,";10;11;16;1",0,0,FALSE
"427","BreakFluid","{AGE=InWarranty,MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other,USER_CUSTOMISED=Y}=>{FAULT_TYPE=BreakFluid}",1.371745e-05,0.01458207,78.62166,35157,0.0001794489,0.01230613,336,"Hopper","InWarranty","VWFranchise","Other","Y","*","*",FALSE,23042,0.01458207,2,159225,165682,162453.5,0.182130167,1.97530454662186e-07,80.0640016983019,1.95247012477864e-07,161.982975890868,0.988210473907102,715,5,-1.94003277022503e-07,-1.91313429138657e-07,-65.7143313660913,0.0123062089264419,-0.187532176121229,0.989876355003096,757,1,";10;11;12;13;14;1",0,0,FALSE
"523","BreakFluid","{AGE=InWarranty,MODEL=Ultima,DEALERSHIP=Re-Import,CUSTOMER_TYPE=Private}=>{FAULT_TYPE=BreakFluid}",7.062854e-06,0.008732082,47.08048,17451,6.143541e-05,0.007035597,173,"Ultima","InWarranty","Re-Import","Private","*","*","*",FALSE,19812,0.008732082,3,155065,165297,160181,0.182130167,6.03870615035114e-08,47.9441826899549,5.9175400545066e-08,89.1818418561361,0.979552073524734,848,4,-2.11189278252779e-07,-2.06481161524351e-07,-99.2054522453371,0.00703566457575636,-0.192905708149294,0.988083380343886,898,1,";10;11;12;13;1",0,0,FALSE
"572","BreakFluid","{AGE=InWarranty,MODEL=Hopper,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",1.906562e-05,0.008355848,45.05196,5906,0.006367269,0.7620135,467,"Hopper","InWarranty","*","Other","*","*","*",FALSE,55889,0.008355848,4,154552.5,165658.5,160105.5,0.182130167,1.55836998191201e-07,45.8784403354772,1.52788906212472e-07,143.196176019975,0.980039569432672,955,3,4.15988359252078e-08,4.56050542982627e-08,25.0475955909395,0.762013502399757,3.00192013765517,0.982332888295718,1010,1,";10;11;13;1",0,0,FALSE
"575","BreakFluid","{MODEL=Hopper,DEALERSHIP=VWFranchise,CUSTOMER_TYPE=Other}=>{FAULT_TYPE=BreakFluid}",3.384454e-05,0.002578546,13.90266,5922,0.0005925868,0.2298143,829,"Hopper","*","VWFranchise","Other","*","*","*",FALSE,321499,0.002578546,4,133651.5,165449.5,149550.5,0.182130167,8.11055915166018e-08,14.1577095243096,7.63793865227267e-08,100.693306753997,0.940414684129214,959,3,-1.04322279743494e-08,-8.94381949102171e-09,-5.06009069143664,0.229814399277733,0.0983887501987784,0.942749247056287,1020,1,";10;12;13;1",0,0,FALSE
"576","BreakFluid","{AGE=InWarranty,USER_CUSTOMISED=Unknown}=>{FAULT_TYPE=BreakFluid}",2.878215e-05,0.00463255,24.97717,1321,0.002643971,0.5707376,705,"*","InWarranty","*","*","Unknown","*","*",FALSE,152184,0.00463255,5,146607,165620,156113.5,0.182130167,1.28092651196381e-07,25.4353799609704,1.23825985571818e-07,128.657198236696,0.965965000116736,968,2,7.55187769066234e-09,9.71918352638164e-09,10.5086178076607,0.570737714649599,1.12957865362013,0.760133187985019,1029,1,";11;14;1",0,0,FALSE
"604","BreakFluid","{AGE=InWarranty,MODEL=Ultima,DEALERSHIP=Re-Import}=>{FAULT_TYPE=BreakFluid}",8.124324e-06,0.008670646,46.74924,5993,0.002277418,0.2626584,199,"Ultima","InWarranty","Re-Import","*","*","*","*",FALSE,22951,0.008670646,4,155019,165411,160215,0.182130167,6.89634529064219e-08,47.6068635021896,6.7578164888174e-08,95.2974279455346,0.97952708519327,1141,3,-2.02612886849868e-07,-1.98078397181243e-07,-93.0898661559387,0.262658399385698,0.156225110650178,0.987998944945971,1222,1,";10;11;12;1",0,0,FALSE
"609","BreakFluid","{AGE=InWarranty,USER_CUSTOMISED=Unknown,COUNTRY=Switzerland}=>{FAULT_TYPE=BreakFluid}",4.082575e-06,0.00583703,31.47133,6021,0.00120448,0.2063515,100,"*","InWarranty","*","*","Unknown","Switzerland","*",FALSE,17132,0.00583703,4,150059,164095,157077,0.182130167,2.308655268571e-08,32.0486720906592,2.23818456397709e-08,54.8501171086518,0.968902716898588,1158,3,-1.05006098510671e-07,-1.01444139932047e-07,-73.8070811280445,0.206351517809571,0.0600053255801982,0.972379874696549,1239,1,";11;14;15;1",0,0,FALSE
"667","BreakPad","{AGE=InWarranty,MODEL=Opal,CUSTOMER_TYPE=Private,USER_CUSTOMISED=N,GEO_TYPE=SuperRural}=>{FAULT_TYPE=BreakPad}",4.450006e-06,0.007676597,28.61126,36365,0.0001503172,0.01958122,109,"Opal","InWarranty","*","Private","N","*","SuperRural",FALSE,14199,0.007676597,2,148704.5,164035.5,156370,0.266306969,3.29758350996902e-08,28.8261213321834,3.18503443720968e-08,54.1166189653551,0.965608480824138,1440,5,-1.49215330918469e-07,-1.39338291585024e-07,-70.3940967453094,0.0195812024520762,-0.180015027625631,0.971016115604349,1522,1,";10;11;13;14;16;1",0,0,FALSE
"697","BreakPad","{AGE=InWarranty,USER_CUSTOMISED=N,GEO_TYPE=SuperRural}=>{FAULT_TYPE=BreakPad}",5.062393e-06,0.006712863,25.01935,6525,8.043863e-05,0.01198276,124,"*","InWarranty","*","*","N","*","SuperRural",FALSE,18472,0.006712863,4,146424,164003,155213.5,0.266306969,3.26350001254422e-08,25.207237441841,3.1363983508443e-08,53.697156855659,0.960755480212435,1629,3,-6.44955057351214e-08,-5.47904228791812e-08,-33.9061569759101,0.0119828156779009,-0.187861760465174,0.966855036368238,1711,1,";11;14;16;1",0,0,FALSE
